"peak","accessibility_score"
"chr12-45725682-45731225",728
"chr17-7012065-7016078",728
"chr1-6784034-6786644",727
"chr5-177452082-177459121",727
"chr17-64504613-64507889",726
"chr19-14004725-14007489",726
"chr22-41443885-41449091",726
"chr3-115145888-115148542",726
"chr17-44217859-44222793",725
"chr2-219386855-219389142",725
"chr17-50864845-50868228",724
"chr7-21426493-21428809",724
"chr8-30079905-30084223",723
"chr1-244046987-244051349",722
"chr11-62551291-62558590",722
"chr17-76734354-76738768",722
"chr6-89078977-89083625",722
"chr18-80033015-80034970",721
"chr4-15001088-15005354",721
"chr7-100582991-100587403",721
"chr2-207528404-207531568",720
"chr7-39948523-39952781",720
"chr16-30368314-30371773",719
"chr18-51195346-51198774",719
"chr5-176533058-176538549",719
"chr14-35398233-35405790",718
"chr17-1714049-1718103",718
"chr19-2268892-2276677",718
"chr12-53498847-53502110",716
"chr12-121799089-121806902",716
"chr19-47255911-47258193",716
"chr2-239399334-239402383",716
"chr3-133572184-133575046",716
"chr11-64304024-64307284",715
"chr15-63502352-63506899",715
"chr16-89872369-89874938",715
"chr6-73519813-73524257",715
"chr11-65571822-65578178",714
"chr14-101759971-101762722",714
"chr17-81859424-81861959",714
"chr19-47109514-47114350",714
"chr14-68791990-68797333",713
"chr2-240564810-240570406",713
"chr4-183503632-183506684",713
"chr1-15833092-15837840",712
"chr19-679455-681925",712
"chr19-14512147-14519241",712
"chr9-127782677-127787167",710
"chr17-21283619-21289009",709
"chr5-57172252-57176764",708
"chr1-149884733-149889024",707
"chr19-6423430-6426565",707
"chr19-18519169-18523136",706
"chrX-153966927-153973708",705
"chr20-35615332-35620021",704
"chr5-143401984-143405907",704
"chr6-20400686-20404990",704
"chr2-173963212-173966230",703
"chr6-43170190-43175158",703
"chr19-12781503-12787225",702
"chr19-42241973-42245395",702
"chr4-2258066-2265009",702
"chr12-132486374-132492658",700
"chr18-3447420-3452865",700
"chr2-64749860-64752275",700
"chr1-244862186-244865370",699
"chr19-7918881-7921791",699
"chr5-98927097-98930091",699
"chr19-1256686-1263636",698
"chr2-152716793-152719277",697
"chr14-24113536-24115976",696
"chr18-9135660-9138258",696
"chr19-52188863-52191120",696
"chr3-50336501-50344067",696
"chr10-17227045-17231578",695
"chr17-82296894-82306459",695
"chr19-10652377-10656290",695
"chr20-62793043-62798385",695
"chr5-181221241-181225371",695
"chr14-99479783-99482236",694
"chr17-4895728-4904018",694
"chr6-30613545-30618509",694
"chr9-2014505-2019644",693
"chr19-40442548-40445265",691
"chr17-47647422-47651156",690
"chr14-23300303-23303532",689
"chr16-588028-590886",689
"chr17-7482949-7485610",689
"chr6-32194925-32197881",689
"chr6-85641480-85644629",689
"chr11-67282840-67290525",688
"chr12-120684351-120688294",688
"chr13-19957158-19961019",688
"chr17-8185174-8190818",688
"chr9-79570215-79573990",688
"chr11-3836652-3842372",686
"chr12-92140762-92146907",686
"chr17-7571883-7574828",686
"chr19-1406578-1412482",686
"chr19-35898244-35905365",686
"chr3-31531517-31534403",686
"chr2-47904306-47907864",685
"chr7-107167569-107170865",685
"chr6-142942826-142948328",684
"chr17-45314357-45318086",683
"chr4-1245480-1250431",683
"chr4-82428665-82431581",683
"chr9-3524327-3528987",683
"chr17-28724972-28729494",682
"chr18-5294093-5297362",682
"chr19-41350645-41357933",682
"chr18-79678624-79682257",681
"chr19-2474408-2479984",681
"chr20-58888259-58893150",680
"chr4-2535069-2537882",680
"chr12-57085980-57091863",679
"chr16-31457825-31461087",679
"chr19-58557189-58563610",679
"chr11-62838923-62842905",678
"chr9-96416759-96419698",678
"chr1-172531942-172534180",677
"chr7-139358532-139361117",677
"chr16-28822293-28824901",675
"chr11-67117535-67121487",674
"chr19-1101232-1110443",674
"chr9-136790496-136792577",673
"chr1-1304691-1312598",672
"chr18-12946884-12949083",672
"chr11-95788832-95791436",671
"chr19-44890034-44891876",671
"chr7-158826926-158830614",671
"chr10-35126207-35128699",670
"chr10-99618933-99621969",670
"chr15-88635078-88640760",670
"chr19-54136306-54139336",670
"chr19-38335230-38337646",669
"chr3-170355924-170358757",669
"chr6-30488961-30497137",669
"chr6-30681805-30691350",669
"chr17-42386952-42389567",668
"chr17-43359611-43362557",668
"chr19-9791405-9793537",668
"chr21-37365566-37368899",668
"chr6-136286888-136291079",668
"chr19-55598685-55601067",667
"chr3-187737225-187746231",667
"chr1-244969344-244971836",666
"chr16-9090000-9093466",666
"chr17-58517138-58519892",666
"chr19-9818130-9820038",666
"chr10-43406021-43410395",665
"chr11-58577216-58580206",665
"chr2-136112386-136119909",665
"chr6-12010562-12013555",665
"chr9-137604219-137608811",665
"chr14-103333107-103335705",664
"chr16-351729-355694",664
"chr19-58572061-58574253",663
"chr2-61536127-61539643",663
"chrX-41084023-41086882",663
"chr1-151280848-151283883",662
"chr3-52409294-52412530",662
"chr3-136194267-136197564",662
"chr12-56115717-56119816",661
"chr2-241314155-241317684",661
"chr6-35725610-35732785",661
"chrX-154377834-154381112",661
"chr1-212283726-212286943",660
"chr14-102590616-102594997",660
"chr4-1008591-1013753",660
"chrX-41330070-41337774",660
"chrX-107710381-107718489",660
"chrX-149539012-149541825",660
"chr11-73979332-73984572",659
"chr18-12376065-12378183",659
"chr2-240559909-240562182",659
"chr22-35299045-35302063",659
"chr12-4268533-4275878",658
"chr19-13845907-13848454",658
"chr4-77817589-77822277",658
"chr13-41456014-41466705",657
"chr13-110913406-110916832",657
"chr19-7829039-7831241",657
"chr4-1345690-1348164",657
"chr16-89719107-89724631",656
"chr17-81865238-81872632",656
"chr19-18414418-18423123",656
"chr19-47514001-47516052",656
"chr7-152463094-152465163",656
"chr7-30283877-30286414",655
"chr1-203304104-203312344",654
"chr11-65612947-65617041",654
"chr11-66311533-66314870",654
"chr18-62522107-62525261",654
"chr2-43126932-43137787",654
"chr19-45177551-45179968",653
"chr20-33992388-33994918",653
"chr5-138541982-138544851",653
"chr9-37464513-37466932",653
"chr10-132536271-132540954",652
"chr19-6372140-6374835",651
"chr2-676086-678069",651
"chr2-96535913-96540332",651
"chr8-70401116-70404704",651
"chr9-70418146-70422293",651
"chr11-206176-209540",650
"chr11-123060283-123064419",650
"chr17-38700639-38707404",650
"chr8-140510314-140512761",650
"chr1-2583858-2588369",649
"chr11-62726259-62729460",649
"chr2-10447385-10449674",649
"chr19-42246149-42256544",648
"chr20-63735412-63741716",648
"chr13-51583470-51585713",647
"chr19-43667733-43670605",647
"chr7-140175055-140178018",647
"chr8-12753486-12756454",647
"chr11-83155847-83160827",646
"chr12-54279208-54281700",646
"chr14-81219075-81221886",646
"chr17-8117359-8127267",646
"chr22-41380595-41383003",646
"chr4-56434749-56437789",646
"chr11-57666524-57669056",645
"chr17-4708407-4712836",645
"chr20-17679956-17683197",645
"chr5-181187259-181192804",645
"chr1-45685527-45688783",644
"chr1-235326592-235329610",644
"chr10-102501475-102505413",644
"chr5-6711840-6715132",644
"chr1-228139332-228143283",643
"chr11-66615944-66619819",642
"chr11-118434281-118439079",642
"chr16-672132-681487",642
"chr16-1958664-1966156",642
"chr17-18182280-18185243",642
"chr17-21040153-21044184",642
"chr18-32091457-32093911",642
"chr19-40463447-40467688",642
"chr6-24719006-24722062",642
"chr10-102393488-102396714",641
"chr19-49588562-49594075",641
"chr9-83978508-83981794",641
"chr9-94164862-94167448",641
"chr11-554119-562571",640
"chr16-30063541-30067293",640
"chr3-23944056-23946794",639
"chr6-31619531-31622077",638
"chr7-106283756-106286421",638
"chr11-1562985-1575096",637
"chr17-75773107-75780342",637
"chr8-143244787-143247903",637
"chr16-4413959-4417418",635
"chr21-36155558-36157718",635
"chr3-4976092-4980761",635
"chr5-173055545-173057995",635
"chr6-2763474-2766778",635
"chr1-53944866-53946982",634
"chr8-25457353-25459657",634
"chr10-58266178-58269796",633
"chr10-110918094-110921060",633
"chr19-55383264-55391642",633
"chr3-38023135-38026028",633
"chr12-103928502-103931534",632
"chr15-92881277-92885268",632
"chr18-47929711-47932258",632
"chr3-50296840-50301047",632
"chr4-3072979-3075831",632
"chr16-1610005-1615144",631
"chr19-1079454-1092137",631
"chr1-183469986-183473429",630
"chr1-221740466-221744056",630
"chr11-64184714-64187528",630
"chr16-4613142-4617164",630
"chr19-4470871-4472972",630
"chr5-137751862-137755532",630
"chr9-137025505-137035857",630
"chr4-139175847-139179020",629
"chr19-4968074-4971700",628
"chr3-13010756-13016917",628
"chr6-37168901-37172986",628
"chr8-124473528-124476823",628
"chr11-505929-508137",627
"chr19-18289096-18295330",627
"chr19-40797680-40801313",627
"chr5-96934263-96937320",627
"chr11-130001349-130004755",626
"chr15-64891726-64896385",626
"chr16-81006085-81008389",626
"chr9-72362569-72366280",626
"chr11-608142-618495",625
"chr7-139339822-139342337",625
"chr14-23094136-23096799",624
"chr15-45198028-45201572",624
"chr19-1650512-1653642",624
"chr2-128026750-128028992",624
"chr4-38662823-38665504",624
"chr1-1623432-1632586",623
"chr1-24641437-24644245",623
"chr14-90396347-90400366",623
"chr19-35715653-35719170",623
"chr2-231463520-231465671",623
"chr22-37606961-37611546",623
"chr7-44605703-44607716",623
"chr1-174998416-175001102",622
"chr11-533918-538818",622
"chr14-23320393-23322573",622
"chr2-70140860-70143925",622
"chr4-128286366-128289250",622
"chr9-137240017-137242768",622
"chr1-226061488-226065250",621
"chr17-78839282-78841910",621
"chr19-40776887-40779062",621
"chr19-49675612-49679469",621
"chr19-54462045-54465644",621
"chr7-104940327-104945814",621
"chr12-12722350-12726911",620
"chr2-48313161-48316278",620
"chr2-241700907-241703420",620
"chr4-1711121-1713623",620
"chr1-167219707-167222792",619
"chr17-39753353-39756736",619
"chr10-110225430-110227842",618
"chr16-2526998-2533535",618
"chr17-78777768-78783234",618
"chr3-33438334-33441643",618
"chr1-5991192-5995255",617
"chr1-9909129-9911401",617
"chr1-167935069-167937807",617
"chr14-60247466-60250445",617
"chr17-4946994-4950786",617
"chr21-37071990-37074559",617
"chr3-153160174-153163611",617
"chr4-101345336-101348804",617
"chr5-109408822-109411237",617
"chr8-42050710-42053116",616
"chr14-73757520-73763187",615
"chr2-86440462-86443111",615
"chr2-88626326-88628673",615
"chr13-45339824-45342575",614
"chr16-719755-730942",614
"chr17-29611562-29618761",614
"chr6-32175511-32179132",614
"chr8-42151884-42155406",614
"chrX-154367926-154375009",614
"chr10-130109280-130112016",613
"chr11-818469-822792",613
"chr12-50110260-50113066",613
"chr22-42613718-42616463",613
"chr19-50328064-50334468",612
"chr11-64268009-64272174",611
"chr12-25384660-25387890",611
"chr15-44710043-44716108",611
"chr17-42673452-42680480",611
"chr19-15377951-15380826",611
"chr3-150407500-150411244",611
"chr9-128066428-128069554",611
"chr9-132239367-132243071",611
"chr17-77139806-77141920",610
"chr21-37266692-37268443",610
"chr3-195906011-195910630",610
"chr6-109381030-109383642",610
"chr1-62435659-62437980",609
"chr3-50234895-50239151",609
"chr8-102238170-102240266",609
"chr1-36384526-36388012",608
"chr12-108628290-108636446",608
"chr15-72472911-72475886",608
"chr17-7613908-7615910",608
"chr19-49765865-49767770",608
"chr21-33641058-33643597",608
"chr21-46322492-46325649",608
"chr8-42895622-42898758",608
"chr9-27572323-27574498",608
"chr17-75782781-75786289",607
"chr19-39340876-39343325",607
"chr2-111116927-111123541",607
"chr6-26155639-26159673",607
"chr11-9459745-9462110",606
"chr16-1308408-1312293",606
"chr16-30697616-30699779",606
"chr19-1061906-1070065",606
"chr19-45583685-45585624",606
"chr2-191677155-191680642",606
"chr4-17576424-17579034",606
"chr5-43037817-43043670",606
"chr8-22689741-22696186",606
"chr1-37473028-37480608",605
"chr17-68289964-68292862",605
"chr2-148643009-148646577",605
"chr6-158812654-158820440",605
"chr9-33162698-33168654",605
"chr11-63837140-63841034",604
"chr19-3978810-3988420",604
"chr19-10717081-10719840",604
"chr19-18151417-18154618",604
"chr10-50621756-50625951",603
"chr11-2398684-2401519",603
"chr11-3796300-3798573",603
"chr12-750953-755382",603
"chr18-79398022-79407489",603
"chr5-140400413-140403055",603
"chr6-110814031-110816455",603
"chr1-160096391-160100106",602
"chr11-64875668-64881121",602
"chr17-82225472-82233771",602
"chr19-19384900-19387026",602
"chr19-48489679-48494453",602
"chr2-68250176-68253827",602
"chr20-35739571-35744540",602
"chr22-40950392-40952409",602
"chr1-1889682-1892844",601
"chr1-6599300-6604318",601
"chr1-36223072-36225218",601
"chr16-67657768-67662083",601
"chr19-48319905-48323763",601
"chr1-185315692-185318379",600
"chr14-91059570-91061876",600
"chr19-14379923-14387322",600
"chr20-17965018-17970304",600
"chr12-45989518-45992394",599
"chr17-76725431-76728568",599
"chr19-45691503-45693762",599
"chr2-197498716-197501202",599
"chr3-136751231-136753581",599
"chr6-166626189-166628838",599
"chr7-35799976-35802798",599
"chr1-207320622-207322890",598
"chr4-2930625-2937625",598
"chr10-87092534-87096084",597
"chr15-72226419-72232748",597
"chr17-63621400-63623511",597
"chr2-156340647-156343662",597
"chr2-177263219-177266303",597
"chr22-50189220-50194111",597
"chr12-108730168-108732697",596
"chr17-8220664-8224096",596
"chr19-45000767-45002973",596
"chr2-10041995-10045012",596
"chr20-323976-328832",596
"chr3-14946772-14949039",596
"chr3-36992235-36994240",596
"chr4-152534410-152537294",596
"chr6-30555158-30557935",596
"chr8-144102882-144105494",596
"chr12-55926400-55933538",595
"chr17-4966183-4968877",595
"chr19-40598169-40606639",595
"chr19-56118124-56122136",595
"chr2-112053838-112056752",595
"chr2-177211605-177213718",595
"chr22-38704978-38707788",595
"chr4-1578823-1582625",595
"chr8-28400653-28403221",595
"chr8-140463775-140465443",595
"chrX-153924014-153928972",595
"chr1-20785866-20788251",594
"chr10-102917146-102919525",594
"chr12-67268264-67270589",594
"chr13-74132018-74136793",594
"chr14-20460353-20462381",594
"chr14-58297302-58300107",594
"chr14-105020110-105022064",594
"chr15-74612399-74616906",594
"chr5-134524032-134527989",594
"chr9-137085144-137087954",594
"chr17-45146896-45150410",593
"chr19-1489457-1491923",593
"chr2-219277557-219280489",593
"chr3-52052570-52058663",593
"chr5-179816540-179822280",593
"chr6-16758546-16763561",593
"chr10-1047756-1050965",592
"chr11-67414905-67421901",592
"chr12-121624562-121630160",592
"chr2-127386304-127388944",592
"chr3-143970676-143973854",592
"chr13-30463903-30467269",591
"chr14-102085578-102089058",591
"chr17-40098242-40101647",591
"chr17-51119438-51122287",591
"chr20-49276114-49279568",591
"chr4-10115184-10118831",591
"chr5-134225098-134227443",591
"chr6-31968282-31973404",591
"chr7-74655978-74661436",591
"chr16-50741098-50743949",590
"chr17-38867304-38872714",590
"chr17-47895169-47897119",590
"chr17-81509352-81516142",590
"chr2-70084896-70088774",590
"chr6-31734423-31740865",590
"chr11-67433055-67444704",589
"chr14-75257167-75260414",589
"chr20-53591906-53595148",589
"chr22-46035422-46037356",589
"chr3-49019935-49023260",589
"chr5-81749413-81752254",589
"chr8-143972195-143979191",589
"chr12-121791563-121798579",588
"chr14-77320042-77322248",588
"chr19-48362913-48365849",588
"chr5-76401638-76405323",588
"chr9-35603419-35606392",588
"chr1-2203198-2206304",587
"chr11-64284088-64286790",587
"chr11-118788264-118793351",587
"chr16-67243554-67249453",587
"chr19-36053614-36055591",587
"chr19-55406555-55408894",587
"chr2-46541505-46545694",587
"chr3-129118652-129124100",587
"chr3-150761756-150764322",587
"chr13-31160734-31163127",586
"chr16-30377171-30379757",586
"chr17-82019848-82024236",586
"chr2-24970955-24973133",586
"chr22-30422787-30427167",586
"chr22-41090831-41093394",586
"chr4-148441843-148446242",586
"chr6-4774714-4777882",586
"chr7-98280493-98286700",586
"chr19-14116871-14119221",585
"chr22-36384589-36388749",585
"chr3-57595738-57598874",585
"chr1-150558493-150564690",584
"chr14-22549485-22559034",584
"chr17-64974204-64976569",584
"chr19-40714305-40718241",584
"chr6-26195160-26200370",584
"chr1-11907316-11910396",583
"chr10-15167624-15170339",583
"chr16-50152130-50156057",583
"chr22-40043070-40046296",583
"chr3-38164287-38166435",583
"chr5-126776332-126779006",583
"chr1-154219460-154222116",582
"chr10-28531782-28534319",582
"chr11-47765887-47768717",582
"chr16-87950444-87952471",582
"chr19-35264405-35270245",582
"chr19-46659062-46662618",582
"chr19-51365341-51369196",582
"chr12-55972792-55974862",581
"chr15-84980142-84982952",581
"chr19-43462742-43464661",581
"chr6-26122517-26126468",581
"chr15-89333939-89336064",580
"chr16-68083893-68086720",580
"chr20-23361111-23363608",580
"chr20-62121117-62123647",580
"chr11-65917446-65920530",579
"chr16-635083-638949",579
"chr6-31350248-31358666",579
"chr9-120868005-120870570",579
"chr17-8246645-8249735",578
"chr17-17971463-17973333",578
"chr20-45933279-45936077",578
"chr7-151517967-151521075",578
"chr9-36486074-36488795",578
"chrX-47217103-47220019",578
"chr1-153943999-153947341",577
"chr14-74083867-74085577",577
"chr19-658353-664042",577
"chr19-14136061-14137921",577
"chr4-7041758-7044648",577
"chr6-34234778-34238781",577
"chr9-35071075-35073342",577
"chr9-136846367-136860091",577
"chr10-97497591-97500322",576
"chr2-69913934-69916026",576
"chr7-44846018-44849061",576
"chr15-68816888-68822470",575
"chr16-1781447-1783737",575
"chr17-31486674-31492273",575
"chr17-36543862-36546336",575
"chr17-79796210-79801540",575
"chr17-82096517-82100857",575
"chr18-9913158-9915480",575
"chr2-42809486-42811858",575
"chr6-18154487-18156598",575
"chr12-133079639-133081470",574
"chr14-71319642-71323265",574
"chr19-40749801-40752579",574
"chr2-224584037-224586676",574
"chr5-154754280-154758404",574
"chr9-134162961-134165870",574
"chr16-81442510-81448025",573
"chr18-2654608-2657386",573
"chr15-40435355-40442703",572
"chr19-3572006-3574517",572
"chr19-50024725-50026472",572
"chr4-26318722-26322069",572
"chr8-102804559-102809266",572
"chr9-97982378-97985671",572
"chr1-248837355-248839636",571
"chr11-62540617-62547622",571
"chr11-95229616-95232932",571
"chr16-1988788-1994208",571
"chr16-2152791-2156891",571
"chr5-108380124-108383437",571
"chr5-154857159-154860954",571
"chr7-2507795-2514212",571
"chr1-179881689-179884197",570
"chr19-29842796-29846026",570
"chr6-42745156-42748050",570
"chr9-35113948-35117404",570
"chr10-132393345-132402176",569
"chr14-65100949-65103580",569
"chr14-75293308-75297834",569
"chr16-525473-530753",569
"chr21-39347801-39350265",569
"chr3-48556115-48559294",569
"chr3-130110808-130112943",569
"chr4-128809281-128812927",569
"chr6-63571387-63574687",569
"chr7-32889983-32893276",569
"chr7-138459500-138461485",569
"chr9-70410405-70414710",569
"chr17-7250810-7253075",568
"chr17-77957257-77960406",568
"chr19-11373826-11377542",568
"chr19-36114020-36116470",568
"chr2-27049674-27052572",568
"chr4-37685048-37687515",568
"chr4-77072329-77077013",568
"chr7-66994522-66997283",568
"chr12-56686549-56689962",567
"chr12-122225297-122227924",567
"chr16-21517399-21520977",567
"chr6-30325535-30327850",567
"chr8-101203404-101206932",567
"chr8-144826102-144829045",567
"chr9-128688148-128690864",567
"chr1-156497845-156503221",566
"chr10-3171962-3174023",566
"chr16-30182343-30187857",566
"chr17-63840917-63844041",566
"chr19-506322-508351",566
"chr19-18635775-18638526",566
"chr20-23349471-23351936",566
"chr22-50581517-50583728",566
"chr4-1869916-1872843",566
"chr5-43120486-43122553",566
"chr8-143595755-143599496",566
"chr4-48340434-48342857",565
"chr7-108525233-108527043",565
"chr9-97632151-97634566",565
"chr11-67628674-67631655",564
"chr12-8242210-8244302",564
"chr13-33541994-33543916",564
"chr14-31206550-31208888",564
"chr15-65790642-65793124",564
"chr19-41859201-41861163",564
"chr2-99488555-99490996",564
"chr20-57388918-57393904",564
"chr4-98994846-98996885",564
"chr5-95959697-95962619",564
"chr10-929874-932901",563
"chr13-19862329-19865206",563
"chr17-4142308-4144562",563
"chr2-61469963-61472368",563
"chr7-151057230-151061044",563
"chr1-8876486-8880389",562
"chr1-18953759-18958386",562
"chr1-31936648-31940804",562
"chr11-108221519-108224481",562
"chr12-56125993-56130196",562
"chr17-39952077-39953939",562
"chr19-1018949-1022313",562
"chr19-8389606-8392339",562
"chr19-16659451-16662056",562
"chr22-50506250-50508998",562
"chr4-6781936-6784164",562
"chr1-154557546-154559978",561
"chr10-104120652-104122714",561
"chr17-68247031-68249902",561
"chr4-3954544-3956687",561
"chr9-134065451-134069274",561
"chr1-15846820-15850345",560
"chr11-66264668-66269924",560
"chr13-30616014-30619018",560
"chr13-51801787-51805699",560
"chr14-95533525-95536007",560
"chr17-14299246-14304198",560
"chr17-48891933-48893712",560
"chr19-1273275-1277293",560
"chr9-126719252-126724563",560
"chr17-7403174-7406808",559
"chr7-44998984-45001736",559
"chr9-6756756-6759653",559
"chr1-1777731-1783503",558
"chr17-2053314-2059975",558
"chr2-24075761-24077837",558
"chr1-244652278-244654090",557
"chr11-71786221-71788310",557
"chr14-22917827-22920115",557
"chr14-104751922-104754711",557
"chr14-105299844-105302313",557
"chr19-17946234-17953383",557
"chr2-55047714-55051566",557
"chr2-84904583-84909531",557
"chr21-33478665-33480762",557
"chr22-49933299-49938511",557
"chr3-125915229-125917417",557
"chr5-109688560-109691617",557
"chr10-23438137-23440917",556
"chr12-6688335-6690170",556
"chr19-38898702-38900590",556
"chr19-46600126-46603499",556
"chr20-5126082-5128411",556
"chr22-49852764-49855859",556
"chr9-92762401-92766116",556
"chr1-244833687-244836557",555
"chr11-3854015-3856951",555
"chr12-31323421-31326816",555
"chr17-49191530-49194471",555
"chr19-11380545-11384564",555
"chr2-238287464-238290500",555
"chr3-129439249-129441665",555
"chr3-157158995-157161299",555
"chr5-1103552-1113482",555
"chr8-8227257-8229402",555
"chr1-1614124-1617092",554
"chr19-14415059-14420066",554
"chr2-65128420-65131206",554
"chr3-49411131-49413101",554
"chr12-120290454-120293717",553
"chr13-27619791-27622496",553
"chr16-4690356-4698916",553
"chr16-11253337-11257831",553
"chr17-49787866-49789736",553
"chr19-58543478-58546211",553
"chr6-137866156-137872459",553
"chr1-235864964-235868603",552
"chr12-6605205-6609267",552
"chr13-49443313-49445573",552
"chr13-49791449-49793745",552
"chr14-24145718-24148297",552
"chr16-1766247-1774540",552
"chr16-22296662-22299098",552
"chr17-8158343-8165530",552
"chr17-51258759-51262098",552
"chr7-7181460-7183679",552
"chr1-32649923-32651986",551
"chr10-71768573-71775823",551
"chr10-133273060-133280844",551
"chr12-123363414-123366130",551
"chr13-109782717-109788009",551
"chr17-56832923-56835464",551
"chr19-49451270-49454335",551
"chr3-113744868-113747946",551
"chr7-66627232-66630042",551
"chr12-71662619-71664916",550
"chr12-106301532-106304460",550
"chr14-52551574-52554375",550
"chr14-89954284-89956982",550
"chr14-90382036-90385158",550
"chr15-98646953-98652267",550
"chr17-1626763-1631954",550
"chr17-4364898-4367392",550
"chr19-18202695-18205602",550
"chr9-33263408-33265827",550
"chr9-125745696-125748940",550
"chr11-75814207-75817104",549
"chr11-117094735-117099384",549
"chr17-7685523-7689075",549
"chr17-45582646-45586578",549
"chr19-1235830-1242546",549
