feature,score,p_value,feature_type
P2RY14,233.33229774835166,1.4284857732404715e-47,RNA
TCL1A,232.19031837831488,2.2774705049887856e-47,RNA
ARHGAP24,231.95454412761782,2.507844526385764e-47,RNA
chr22.41919118.41927485,231.2342762569873,3.366603214201659e-47,ATAC
BACE2,227.78864829230727,1.3805374956135452e-46,RNA
AC019197.1,219.4804909057846,4.216581727039051e-45,RNA
TMEM156,217.99624131351095,7.786052243048263e-45,RNA
SLC9A7,216.68393976877397,1.3399575745528813e-44,RNA
FCHSD2,214.74674504734483,2.989558693404378e-44,RNA
SLC38A11,214.42172655127044,3.420861968714529e-44,RNA
SSPN,209.42141226415544,2.7326625607730766e-43,RNA
CD74,206.0175731338092,1.1299902367844727e-42,RNA
MEF2C,202.1596202701229,5.674796129212419e-42,RNA
AOAH,200.74227294198403,1.0280505030642191e-41,RNA
RHEX,199.87902443829898,1.4768712034297711e-41,RNA
LIX1,198.9023742339522,2.225754406528013e-41,RNA
AP001636.3,186.32490118749047,4.5167089098918305e-39,RNA
BACH2,182.18796862903446,2.6254334099944487e-38,RNA
DPYD,179.88230393505674,7.021091204481592e-38,RNA
SCN3A,172.41951345202625,1.718005902123033e-36,RNA
PARM1,171.3237308009713,2.7522130043994757e-36,RNA
FCRL5,170.65895957264996,3.663835350727077e-36,RNA
RRAS2,170.57140767073213,3.804572552918744e-36,RNA
KLHL14,169.62804729218402,5.7117530649421724e-36,RNA
HLA.DRB1,167.57102059164419,1.386950802083634e-35,RNA
AL050309.1,162.3578187978353,1.3232885179573444e-34,RNA
RAB30,161.75349186386785,1.7199022596143333e-34,RNA
IFNG.AS1,161.20491358592872,2.1822441488408548e-34,RNA
FCRL3,156.72262328136796,1.5333676637322829e-33,RNA
LAMC1,142.46628621768102,7.971425242076469e-31,RNA
JCHAIN,140.75245669413846,1.6997901829001853e-30,RNA
USP6NL,140.6456874604519,1.7819677443552e-30,RNA
AL592429.2,138.16902256769185,5.3345063546308755e-30,RNA
MARCH3,137.86858191731224,6.094446239644746e-30,RNA
EML6,133.7485199544324,3.7995515560059266e-29,RNA
ARHGAP26,133.1375084486503,4.9872318423415055e-29,RNA
PIP5K1B,132.15149347475662,7.737975443404758e-29,RNA
LINC01811,131.6575679416171,9.643937783430131e-29,RNA
NETO1,129.70248405874213,2.3078171098798543e-28,RNA
HLA.DRA,125.38822640803863,1.5917171466834904e-27,RNA
MARCH1,125.14700291487645,1.7736104368003626e-27,RNA
RGS7,121.51638927863365,9.066111617791213e-27,RNA
MEF2C.AS1,120.6343846095446,1.3487228569392665e-26,RNA
AL078459.1,119.39863772429511,2.3542433441711713e-26,RNA
ZDHHC14,117.56871761892495,5.378064574731013e-26,RNA
chr22.41935645.41941883,117.05746579833547,6.776007494489055e-26,ATAC
AL355076.2,115.89199847642362,1.1479244917811162e-25,RNA
MZB1,115.05578045427491,1.676229831475714e-25,RNA
HLA.DPB1,114.32004656366801,2.339403435329105e-25,RNA
HLA.DQB1,113.56779238357862,3.2902812842276455e-25,RNA
CLCN4,112.26045109557998,5.955511590098432e-25,RNA
IFNLR1,108.98707917363934,2.63967445199785e-24,RNA
HLA.DRB5,108.34456217809647,3.537657661050632e-24,RNA
MYO1E,104.49404408645826,2.053387949010326e-23,RNA
ZNF608,101.62236217440307,7.655113729477885e-23,RNA
NEAT1,101.21206803027346,9.241332809321991e-23,RNA
COL4A3,100.28367454379448,1.4155058820603356e-22,RNA
EIF2AK3,99.88388725088491,1.7010050690350513e-22,RNA
C16orf74,98.71041245878762,2.9181230975932223e-22,RNA
CCDC50,97.85914028836515,4.3183120593639465e-22,RNA
PMEPA1,96.63017281972749,7.608503455169239e-22,RNA
ANXA1,95.64955580751422,1.1961697824103914e-21,RNA
AL139020.1,93.88774219609782,2.6996500933537284e-21,RNA
BCL7A,92.31774293337809,5.582952754417505e-21,RNA
IGLC3,91.09389269181712,9.844554861015047e-21,RNA
SOX5,90.42617288023236,1.3419048214480177e-20,RNA
AC061958.1,89.57739138658538,1.990023794320883e-20,RNA
COL4A4,89.4726727769647,2.089212303782335e-20,RNA
IGHA2,89.1206114654558,2.4604727843383e-20,RNA
FAM30A,86.57887916621152,8.028439976776852e-20,RNA
AC007381.1,85.85963516172195,1.1225735218232746e-19,RNA
UST,85.39963311068884,1.3911746025748871e-19,RNA
EAF2,84.6310974915504,1.9913009391074216e-19,RNA
ADGRE5,84.52362683020245,2.0937622472636075e-19,RNA
MTSS1,84.42402616407956,2.193432678988202e-19,RNA
PRKCH,83.97670692752251,2.7030695148093806e-19,RNA
SYN3,82.62830275204327,5.077153052652958e-19,RNA
AC083837.1,82.33933612987983,5.812175864367804e-19,RNA
IGLC2,81.97554278419318,6.891083284160704e-19,RNA
TSBP1,81.71837399796316,7.772837851967405e-19,RNA
STK33,80.02129362024792,1.7219318737800308e-18,RNA
HLA.DPA1,79.62027050110791,2.0784226013876116e-18,RNA
C12orf42,79.23483482297864,2.4906244361347236e-18,RNA
TSPAN13,78.08625797914542,4.272153749669774e-18,RNA
C11orf80,77.560572366283,5.4701082254022385e-18,RNA
TNFRSF17,73.99997454615271,2.9288600816839906e-17,RNA
BASP1,73.51367477991164,3.685037924233128e-17,RNA
PLXDC2,73.41861256403917,3.8543046955703564e-17,RNA
LYZ,70.68412327868737,1.4055877219307708e-16,RNA
AC022182.1,70.55358441412031,1.4952880941301442e-16,RNA
MED12L,70.15560678192193,1.8057551168854616e-16,RNA
PDE3B,70.05974513413594,1.889730463334666e-16,RNA
SRGN,69.80852531459742,2.1288454142432738e-16,RNA
IGHA1,68.96530283913562,3.176364715801041e-16,RNA
BCL11B,68.52914438502253,3.9073824964226064e-16,RNA
BTNL9,67.86753651221223,5.350857632041938e-16,RNA
LINC02245,67.57055310668403,6.16233874946712e-16,RNA
AC021678.2,67.41211723607132,6.644592636710729e-16,RNA
AC027097.2,67.07722407564906,7.792113955754313e-16,RNA
THRB,66.6255266316276,9.660838727933034e-16,RNA
SLC8A1,66.360547310991,1.0959849800465026e-15,RNA
VAV3.AS1,65.53904492853704,1.6209574933591187e-15,RNA
AC002480.2,64.74708135746395,2.3647113879459343e-15,RNA
LRMDA,64.21815240204423,3.04366070595831e-15,RNA
MACROD2,62.9420754647672,5.599288324204527e-15,RNA
AKAP6,62.83807977105297,5.8847113891968795e-15,RNA
IL4R,62.1467307476675,8.190954565827853e-15,RNA
LINC01374,60.876856296468276,1.504596037529466e-14,RNA
PLCB1,60.435219950169795,1.8593276653485624e-14,RNA
chr4.153465142.153469459,60.42291292637655,1.8703314979798624e-14,ATAC
PTPRE,60.03666889120626,2.2509407587454593e-14,RNA
LINC02550,59.98121043357258,2.31162707261131e-14,RNA
ADAMTSL4.AS1,59.84387433851389,2.4690642457407874e-14,RNA
AL079338.1,59.5214529320729,2.8822308552093744e-14,RNA
chr2.28389317.28397013,59.22791440490576,3.3183948129864724e-14,ATAC
GRAMD1C,59.171254657735176,3.409913858525747e-14,RNA
CPED1,58.53840024266899,4.6213413611479166e-14,RNA
GLYATL1,58.3853155346646,4.974154642612027e-14,RNA
VCAN,58.24377807699824,5.3243384229784086e-14,RNA
TNFAIP2,58.16056072404314,5.541659959558523e-14,RNA
TNFRSF13B,57.8981231777809,6.286997967632167e-14,RNA
ARID5B,57.63439806291897,7.137286540795772e-14,RNA
CD247,57.54371739420403,7.455547996893037e-14,RNA
EPB41L4A,57.085957248502105,9.292955119673987e-14,RNA
TXNDC5,56.63692900623355,1.1535988633614798e-13,RNA
AC006230.1,56.52029211550397,1.2202656485730987e-13,RNA
chr17.3913558.3917750,56.453952957780345,1.2598927950145269e-13,ATAC
DMXL2,56.437802784123136,1.2697336689163312e-13,RNA
AC009570.2,56.020607879206565,1.5524727534290268e-13,RNA
FCN1,55.77086200721341,1.7511068860999996e-13,RNA
L3MBTL4,55.47467065142591,2.0199764983864488e-13,RNA
DIPK1A,53.0703043172731,6.452916590992287e-13,RNA
chr5.150396217.150413924,52.16893764308262,9.982643836642326e-13,ATAC
LINC01320,52.01033884190143,1.0779767695645721e-12,RNA
IRF4,51.7773924197069,1.2067732933562083e-12,RNA
CLEC7A,51.758356634611154,1.2179566208191413e-12,RNA
TP63,51.26677535693033,1.5456821899715022e-12,RNA
CORO2B,50.806030188049654,1.932752725271755e-12,RNA
S100A4,50.01765877636289,2.8338779091110213e-12,RNA
GEN1,49.79523333904512,3.1572123939503667e-12,RNA
PSTPIP2,49.203220935128265,4.2097930048811234e-12,RNA
MAP2,48.70721654351482,5.358312641537846e-12,RNA
MCTP1,48.57111098342193,5.725173073728824e-12,RNA
TBXAS1,48.24502721005324,6.709880072192885e-12,RNA
PTPRK,48.00605769524957,7.537825144087071e-12,RNA
LINC01572,47.69534654653075,8.769434728805359e-12,RNA
CSF3R,46.79914722262834,1.3573777309940792e-11,RNA
MEGF9,46.62227664549981,1.4796946681656506e-11,RNA
LTB,46.12227495442453,1.888643946925443e-11,RNA
AC108879.1,45.719613493928556,2.2990529585835694e-11,RNA
PLD5,45.5580585788489,2.487859221754551e-11,RNA
ITM2C,45.52117061537667,2.5331057848348834e-11,RNA
PLPP3,45.13181953854771,3.064057325420973e-11,RNA
STX11,45.01719950893859,3.24066840408105e-11,RNA
DPF3,44.994657662056625,3.276585062137628e-11,RNA
IL32,44.89087460596155,3.4471654823505116e-11,RNA
TYMP,44.56084785658199,4.0510907720558244e-11,RNA
IGHG1,44.498990877608335,4.175574831603866e-11,RNA
TLR2,43.538464213254905,6.68297842771867e-11,RNA
chr22.44023618.44027636,43.472698444096984,6.90184404920544e-11,ATAC
DOCK5,43.33145116880537,7.396516961103992e-11,RNA
IL6,42.84925727232587,9.369141384419434e-11,RNA
PDE4D,42.792879683970156,9.631829415769506e-11,RNA
CAMK4,42.778646505796935,9.699307883445713e-11,RNA
chr1.26286905.26291269,42.34900018378285,1.1975498190419485e-10,ATAC
CPVL,42.30012396628972,1.2266259937412345e-10,RNA
JAK2,42.29307936832033,1.2308747655490533e-10,RNA
TPST1,42.15923666321078,1.3144624154197728e-10,RNA
GAS7,41.89017802832541,1.5001211068291602e-10,RNA
MYBL2,41.804680756238014,1.564457478376751e-10,RNA
INPP4B,41.75640943819272,1.6019963927411779e-10,RNA
IGLC1,41.52156604973328,1.7979238164782093e-10,RNA
PTPRG,41.4437766511152,1.8679851252468783e-10,RNA
ACSL1,41.20096701405083,2.104781590231598e-10,RNA
WDFY3,40.83664737661619,2.517762487068582e-10,RNA
TBC1D9,40.11529957372299,3.5908505703137727e-10,RNA
TC2N,39.87841561789883,4.035207019039101e-10,RNA
TYROBP,39.62445041305302,4.5730720008884823e-10,RNA
LEF1,39.313643848854205,5.330173908327306e-10,RNA
GALNTL6,39.203081051426686,5.628812587787006e-10,RNA
THEMIS,39.196521095637394,5.647050004769419e-10,RNA
BICD1,38.94426189172877,6.395209769327801e-10,RNA
IRAK3,38.937136113305804,6.41772964773979e-10,RNA
TCF4.AS1,38.87956194454007,6.602625987818849e-10,RNA
KCNQ5,38.761202714679726,6.99968699902975e-10,RNA
CD36,38.53535938555049,7.825011749528384e-10,RNA
SDK2,38.39905652885058,8.369659791247333e-10,RNA
SEMA3D,38.02570307279161,1.006433446744655e-09,RNA
ITK,37.933423120950415,1.0533787631985986e-09,RNA
SAT1,37.63280345211992,1.2220953881369364e-09,RNA
AC020916.1,37.39224403358282,1.3764398137218018e-09,RNA
TRAC,37.29287629756564,1.44576889315748e-09,RNA
chr16.67528018.67532122,37.23201995262458,1.489947362168472e-09,ATAC
SLC11A1,37.080572476117624,1.6058597055366526e-09,RNA
FUT8,37.07266634284137,1.612153366162086e-09,RNA
chr7.150404151.150409375,37.00773755218174,1.6647848224460834e-09,ATAC
DYSF,36.9863901708878,1.6824629191613586e-09,RNA
CLEC12A,36.707851898884165,1.9311485021067556e-09,RNA
PTK2,36.483218428956896,2.1583349337042022e-09,RNA
CR1,36.43100334832639,2.214874944767619e-09,RNA
chr19.13102200.13105761,36.42574748353231,2.2206478275481252e-09,ATAC
TCF7L2,36.27323557094851,2.394900752437685e-09,RNA
HDAC9,36.09142231222005,2.620650869469968e-09,RNA
WARS,36.049678176157066,2.675426906911935e-09,RNA
CAMK2D,35.925526299561284,2.845220520301997e-09,RNA
NAMPT,35.911411281125474,2.8651966621982854e-09,RNA
RTN1,35.8030261337927,3.023351015268924e-09,RNA
AC008014.1,35.43412313608076,3.6302831205722595e-09,RNA
PID1,35.37736196587947,3.7339598185818326e-09,RNA
CLIC4,34.86087841289263,4.825014033342901e-09,RNA
S100A11,34.76724776288843,5.05465035388674e-09,RNA
CREB5,34.66636077369138,5.314374154187803e-09,RNA
MYOF,34.657220658978495,5.3385560152116635e-09,RNA
IL7R,34.65466346642471,5.345341284616732e-09,RNA
MS4A6A,34.644772739170186,5.371666958000576e-09,RNA
chr20.57396998.57401745,34.25507688067196,6.519332604767247e-09,ATAC
TXK,33.93980361034784,7.625670274634636e-09,RNA
PTCRA,33.78174359191465,8.249368717296714e-09,RNA
PRAM1,33.671330343311595,8.715186673553622e-09,RNA
AC025887.2,33.527084938905006,9.363739618407776e-09,RNA
EMILIN2,33.305600043604834,1.0455125216803752e-08,RNA
chr19.16583790.16589174,33.23367031849141,1.0836343201340169e-08,ATAC
CEBPD,33.1884580504271,1.1083070418902172e-08,RNA
PRKD1,33.09514523663696,1.1610256689429587e-08,RNA
MOXD1,32.85683561415254,1.3073699805983942e-08,RNA
EPB41L3,32.55449178827626,1.5199866397915635e-08,RNA
C12orf74,32.504641945613834,1.5582350362169476e-08,RNA
SLC31A2,32.45455724252704,1.5976365025376416e-08,RNA
LINC00996,32.04455249178363,1.9601721900671874e-08,RNA
AC007368.1,31.765846855316926,2.25271153246783e-08,RNA
FRY,31.735375682575192,2.287242801839808e-08,RNA
chr6.109453722.109456545,31.693756438606577,2.335267560967918e-08,ATAC
IRF8,31.459542336534714,2.6250313900849497e-08,RNA
CPPED1,31.40225474476485,2.7012371614272922e-08,RNA
ID2,31.200833575340035,2.987241133096331e-08,RNA
chr1.226121077.226123553,31.14575424446589,3.070613088725646e-08,ATAC
CARD11,31.014081818787382,3.279511619566965e-08,RNA
chr13.41456014.41466705,30.880575997645764,3.505890864725505e-08,ATAC
FGD4,30.544575660793477,4.1475242232423263e-08,RNA
PLD4,30.413999008646712,4.427585973069298e-08,RNA
chr7.102284335.102289625,30.15182801909546,5.048536720292793e-08,ATAC
BX284613.2,29.89495833193104,5.7416819350199495e-08,RNA
TIAM1,29.85908325420747,5.8458110486142644e-08,RNA
RAPGEF5,29.588972122459978,6.693179709131068e-08,RNA
IL7,29.545999219769293,6.838928454306422e-08,RNA
IGHV4.39,29.53299411578835,6.88366201750534e-08,RNA
TMEM176B,29.442019388926226,7.204910838968674e-08,RNA
AL160262.1,29.183449704867733,8.202561258283962e-08,RNA
RNF130,29.15522555102515,8.319532327458817e-08,RNA
ACTB,28.924403369756988,9.341205484209845e-08,RNA
AC132153.1,28.86252083162688,9.635919189093268e-08,RNA
STAT4,28.846657862509364,9.712957763451741e-08,RNA
GBP1,28.761093197331704,1.013929337052383e-07,RNA
KLF4,28.748210480242786,1.0205090554866859e-07,RNA
RGS2,28.699682542978206,1.045681428383851e-07,RNA
MTCL1,28.386262852073394,1.223973298970132e-07,RNA
RIPK2,28.3233236246872,1.2633025016711095e-07,RNA
ACSM3,28.284361122703682,1.288282582856689e-07,RNA
PAK1,28.09653693028458,1.4158402216376967e-07,RNA
MNDA,28.059997809382985,1.44209135408785e-07,RNA
TIMP3,28.00290125955707,1.4840937220674395e-07,RNA
IGHE,27.936483911308667,1.5345009603706536e-07,RNA
LINC01781,27.82317875235886,1.6244938639910207e-07,RNA
FTH1,27.492044227682726,1.9190483741764345e-07,RNA
LINC02161,27.27337073856214,2.1424138457305456e-07,RNA
LYN,27.190896594342906,2.2332828951430497e-07,RNA
ALCAM,27.167589850098953,2.2596564736941411e-07,RNA
SERPINA1,26.968855188118003,2.497633281249184e-07,RNA
RPL18A,26.906611410917165,2.5772251751699273e-07,RNA
MAML3,26.616520733340035,2.9831172520291615e-07,RNA
LINC02324,26.512807683881455,3.143321932217084e-07,RNA
LINC01362,26.143514130680142,3.7872586022623733e-07,RNA
chr19.46715592.46720758,26.13504741186179,3.8034817264923236e-07,ATAC
AZIN1.AS1,26.122816605333096,3.8270405587629873e-07,RNA
S100A10,26.072314231697533,3.925879795646531e-07,RNA
ITGAX,26.051454538093274,3.967449229164131e-07,RNA
CA8,26.00968452881935,4.0520227256044807e-07,RNA
EXT1,25.991047096093524,4.090340689590111e-07,RNA
SCT,25.948037888012568,4.1801610812611473e-07,RNA
TRPS1,25.94291967463247,4.190981018643493e-07,RNA
LINC01013,25.573437060460996,5.05120852683139e-07,RNA
chr11.65636572.65642410,25.570136078816994,5.059644118523191e-07,ATAC
S100A6,25.53229441110969,5.157364621350859e-07,RNA
chr2.218892042.218894714,25.503248944561896,5.233654403800323e-07,ATAC
PAM,25.47295238776247,5.314438436798096e-07,RNA
MRVI1.AS1,25.384868414697582,5.556495057434227e-07,RNA
ATP8B4,25.12359662262803,6.341616376898562e-07,RNA
AP001341.1,24.836321869308094,7.334177266308957e-07,RNA
ADGRE2,24.831463336494103,7.352242319545426e-07,RNA
chr13.25286271.25287898,24.74091606591938,7.697216680630197e-07,ATAC
GCH1,24.631383754269358,8.136330657522889e-07,RNA
TNFRSF1B,24.59541715675087,8.285941415040745e-07,RNA
AL589693.1,24.545431510020997,8.498468511922118e-07,RNA
RBM47,24.545139036829074,8.499728019382403e-07,RNA
ATF3,24.533309647302268,8.550827631882583e-07,RNA
CD69,24.420643869190176,9.0532502869042e-07,RNA
chr3.42012375.42015562,24.398378961569456,9.155994989078383e-07,ATAC
MIR3681HG,24.386935053016817,9.2092595899228e-07,RNA
CUX2,24.386059494928,9.213347590608151e-07,RNA
S100A9,24.209482462586053,1.0076192600095953e-06,RNA
LINC01478,24.158066304000787,1.034237859795033e-06,RNA
SGPP1,24.152989060106137,1.036904423457089e-06,RNA
DERL3,24.12942579026187,1.0493705374103064e-06,RNA
chr19.43667733.43670605,24.065208207098586,1.0841145631113225e-06,ATAC
VCAN.AS1,24.02961726812588,1.1038659795929126e-06,RNA
CLEC4C,23.886510818212056,1.187002039415609e-06,RNA
RORA,23.86711767976827,1.1987422243912787e-06,RNA
IGHV3.23,23.51282162648443,1.4349936294765626e-06,RNA
NLRP3,23.342881772347948,1.5643965138830483e-06,RNA
chr12.107317679.107322483,23.337159934787973,1.5689518892991373e-06,ATAC
IGHG3,23.282702258829982,1.6129805238016077e-06,RNA
NIBAN1,23.13818679986788,1.7359349944983811e-06,RNA
AC025569.1,23.014710430322115,1.8484267291697183e-06,RNA
RIN2,22.988255395793338,1.873465645624276e-06,RNA
chr17.1484429.1489134,22.847324024043253,2.0127129543106633e-06,ATAC
FGL2,22.773596582458122,2.0896568823474226e-06,RNA
PLAUR,22.755879980809606,2.108582798091068e-06,RNA
TMEM170B,22.596846150660785,2.286377305454188e-06,RNA
STK3,22.59424444961754,2.2894078768340143e-06,RNA
UGCG,22.531842147808305,2.3633189948582802e-06,RNA
SULF2,22.41713230754932,2.505499100595481e-06,RNA
GBP5,22.23727054711808,2.7459460729126857e-06,RNA
chr19.50803771.50805516,22.17944968209752,2.828068634774109e-06,ATAC
ST18,22.17404198187464,2.8358742781754585e-06,RNA
CSF2RA,22.04123862447385,3.0345144964763243e-06,RNA
chr13.32425950.32429158,21.99623628633841,3.1049524150769443e-06,ATAC
PDE7B,21.93038501941984,3.21099640969964e-06,RNA
DISP1,21.91701939754439,3.232960353948872e-06,RNA
PLCL1,21.879949468441477,3.2946715685553023e-06,RNA
LINC01473,21.79780325808739,3.4356753294270445e-06,RNA
FNIP2,21.775771537670693,3.474513974036178e-06,RNA
PACSIN1,21.578447392602225,3.842656534386285e-06,RNA
chr3.45592830.45597770,21.563974034405334,3.8711549746128764e-06,ATAC
SLC8A1.AS1,21.546220755037496,3.9064020178619615e-06,RNA
WWOX,21.53242715259839,3.934010175979177e-06,RNA
GAB2,21.24091266917318,4.565643804862422e-06,RNA
SLC2A3,21.232423449148047,4.585492310639071e-06,RNA
MXD1,21.21344410589316,4.63018198720365e-06,RNA
APBA2,21.116544241066237,4.865265664238972e-06,RNA
ZNF331,20.971936169643463,5.2386037945004534e-06,RNA
TNFSF10,20.954583765396794,5.2852968858393364e-06,RNA
DUSP6,20.927721918610015,5.3584054113137415e-06,RNA
TNFAIP3,20.899183605647185,5.437191150659597e-06,RNA
chr22.50189220.50194111,20.88131080655308,5.487124741834228e-06,ATAC
chr17.29929110.29931875,20.878608438694357,5.49471473161359e-06,ATAC
chr12.52005278.52011851,20.681926367174526,6.076443603129593e-06,ATAC
chr15.91852514.91855197,20.626734412796317,6.250546559777536e-06,ATAC
MARK1,20.586437907684395,6.380822567784669e-06,RNA
CFD,20.544384387879145,6.51969190976241e-06,RNA
chr17.3963123.3965745,20.542240042637598,6.526853868154741e-06,ATAC
PTPRS,20.47491202483865,6.755794510653891e-06,RNA
RASGRF2,20.418836398044867,6.952626258795344e-06,RNA
chr12.121534383.121538815,20.392928337702717,7.045504504120436e-06,ATAC
SYT17,20.3724887415941,7.119658541942661e-06,RNA
C5AR1,20.356097142839637,7.1796933930956395e-06,RNA
S100Z,20.27780868824623,7.473526878283061e-06,RNA
chr13.74132018.74136793,20.195484758714038,7.795564337048208e-06,ATAC
RASSF6,20.18005407695915,7.857462175575823e-06,RNA
PTPRB,20.14956670938019,7.981214644973377e-06,RNA
CD14,20.149093673125808,7.983150130439438e-06,RNA
AC104024.1,20.130814467621974,8.058304430089107e-06,RNA
chr17.39753353.39756736,20.124832362589437,8.083053870569135e-06,ATAC
COCH,20.093793168262554,8.212703527278975e-06,RNA
PF4,20.07548209701775,8.290167102763703e-06,RNA
SOX7,20.002648143623503,8.605630312500856e-06,RNA
APOBEC3A,19.792415148017525,9.585602593982729e-06,RNA
IGLV3.21,19.763493909830995,9.728927486194054e-06,RNA
AL139340.1,19.762604483414965,9.733369218289778e-06,RNA
SPECC1,19.71845394795881,9.956437018183058e-06,RNA
FRMD4B,19.641441296071168,1.035791987351384e-05,RNA
AHR,19.493214346773826,1.117708447189799e-05,RNA
MROH9,19.482329354204467,1.1239748247416125e-05,RNA
PSAP,19.402053691123562,1.1712934977468627e-05,RNA
CD1C,19.314236754308144,1.225356436129888e-05,RNA
COLCA2,19.246991745213045,1.268446267287036e-05,RNA
KIF13A,19.178191421589833,1.3141113297759216e-05,RNA
chr9.127914706.127918686,19.147724916843977,1.3348579605696942e-05,ATAC
chr2.241880754.241882801,19.055746767331833,1.3995129988356768e-05,ATAC
FLNB,19.053985135709137,1.4007815989755357e-05,RNA
chr2.202634196.202636468,18.983285093708865,1.4526612662861298e-05,ATAC
GLT1D1,18.948190651182674,1.4791273019311212e-05,RNA
chr16.28923764.28926161,18.92106132545984,1.4999186287327769e-05,ATAC
chr5.139387693.139394784,18.866886527010227,1.5423212295703106e-05,ATAC
BACH1,18.85940971194918,1.5482673036823232e-05,RNA
BCL2,18.82356508657728,1.577095374020023e-05,RNA
RGCC,18.76412024608648,1.626099664162679e-05,RNA
LINC00937,18.69483122608193,1.6851568161232737e-05,RNA
RFX2,18.671926366492087,1.7051502900330103e-05,RNA
GAPDH,18.612929380842704,1.7577546601104187e-05,RNA
FCAR,18.55952730196085,1.8067774813676087e-05,RNA
ALOX5AP,18.52457531114803,1.839605957187161e-05,RNA
TUBA1A,18.467953841628514,1.894066312281474e-05,RNA
LST1,18.466519144521545,1.8954671300925846e-05,RNA
chr19.36488714.36490519,18.357624906364155,2.0048906717804753e-05,ATAC
COL26A1,18.342371839952254,2.0207174217010777e-05,RNA
LILRA4,18.294739075481097,2.070955841475532e-05,RNA
PHEX,18.236027962727448,2.1346119983571606e-05,RNA
chr19.40283541.40286102,18.232113359211034,2.1389256950122175e-05,ATAC
DAPK1,18.041149393551127,2.360369047083921e-05,RNA
