feature,score,p_value,feature_type
PHEX,116.0004151491754,1.0774349706213243e-25,RNA
LNCAROD,114.02054030564203,2.642704111393891e-25,RNA
DCLK2,113.30812210218726,3.651230291400668e-25,RNA
GPR39,113.28402783130251,3.6913818103435677e-25,RNA
AJAP1,107.87052734711652,4.336639975288573e-24,RNA
FLT3,105.55433830205719,1.249265624122103e-23,RNA
ZFAT,100.54297910341138,1.2428128799844258e-22,RNA
P2RY14,97.41794802345953,5.237097820113883e-22,RNA
AC025887.2,95.05153743192825,1.5610714459692312e-21,RNA
SLC41A2,94.5966071239775,1.9263686703852605e-21,RNA
LINC00996,94.15356452058451,2.3643399553514896e-21,RNA
CCDC50,93.97416874611471,2.5688983291744818e-21,RNA
ZRANB2.AS2,93.85928734432913,2.7091165357796665e-21,RNA
PLD4,93.22752223824182,3.629134065789541e-21,RNA
STARD13,92.22449789938177,5.775133460966499e-21,RNA
TCF4,90.52385930524932,1.2709095153201688e-20,RNA
LINC01033,87.55693151554188,5.0483749062380974e-20,RNA
FGF13,85.0175199665722,1.6493809980384625e-19,RNA
LILRA4,82.00217328094449,6.754846835609427e-19,RNA
MCOLN2,81.15491254773075,1.0046323554464959e-18,RNA
P3H2,80.8789593102304,1.1433740631215212e-18,RNA
WAKMAR2,79.44710314707439,2.2385236543454784e-18,RNA
ARPP21,76.47610893883665,9.052850916996091e-18,RNA
DNASE1L3,75.70150689927972,1.3041103534914555e-17,RNA
SLC35F3,74.8049737954274,1.9905023118146468e-17,RNA
AP001341.1,74.76426069921091,2.0291151343436554e-17,RNA
KCNK10,70.39542818887004,1.60264145473505e-16,RNA
AC007100.1,69.61513307070999,2.320563901019089e-16,RNA
ICAM4,67.87998645065325,5.29140063690218e-16,RNA
ST3GAL4,67.06321563152017,7.804031557135027e-16,RNA
DACH1,66.80325983551364,8.832010187944185e-16,RNA
MYBL2,64.94055202010901,2.1458506338043537e-15,RNA
SAMD12,60.1202579423622,2.1534607900569025e-14,RNA
ARHGAP11A,58.81034917661039,4.039077696592593e-14,RNA
NTM,56.53534242192279,1.2069545865126983e-13,RNA
SPIB,55.88858039952617,1.648482156279451e-13,RNA
CCDC102B,55.659021870715094,1.8414750149589424e-13,RNA
PDZRN3,54.378211653328904,3.417306702709744e-13,RNA
DAPK2,51.46674127049817,1.3985048887029496e-12,RNA
AL136018.1,50.83048729060804,1.904159198140249e-12,RNA
APP,50.74540678291902,1.9844283443216475e-12,RNA
ADGRB3,50.19356524185404,2.5941389655179793e-12,RNA
TSBP1.AS1,49.4889038645992,3.653379508116193e-12,RNA
CAV3,48.6673701203771,5.447941472483234e-12,RNA
UGCG,47.99354857125315,7.5632478001363e-12,RNA
TNFRSF11A,47.90075608295061,7.91295653017441e-12,RNA
AC097375.1,45.8529121989134,2.1487602819502645e-11,RNA
PLEKHA5,45.48803830586145,2.5681218259289758e-11,RNA
SLC12A3,44.93394722904061,3.367210629447667e-11,RNA
SLC7A5,43.545860556829695,6.643740337613451e-11,RNA
BCL11A,42.65203632085538,1.0298372254367104e-10,RNA
AL139340.1,42.3808965900813,1.1764156157863598e-10,RNA
COBLL1,41.67587384987832,1.663179561364837e-10,RNA
BCL7A,41.175073131634456,2.127412121909103e-10,RNA
IRF8,41.1673877556864,2.1354673664086087e-10,RNA
BLNK,39.52627101836642,4.790750465265538e-10,RNA
JCHAIN,39.45639024399312,4.958666945611319e-10,RNA
RUNX2,37.13127420377936,1.5634635761847818e-09,RNA
GUCY2D,36.85925039513597,1.7887676316584585e-09,RNA
SLC15A4,36.70045910875542,1.9350612817203368e-09,RNA
RBMS3,35.96488863024367,2.7858605220752435e-09,RNA
MAPKAPK2,35.825788358941715,2.9847591194167104e-09,RNA
SMPD3,35.7852341035521,3.045386199284976e-09,RNA
NCAPG2,35.290264382525166,3.892939523621038e-09,RNA
MME,32.95220437622328,1.2450443434443438e-08,RNA
LINC02246,32.458250562014754,1.5926336871799116e-08,RNA
FCER1A,31.7319645059668,2.2883016084172853e-08,RNA
RGS7,31.675856015781285,2.353322345137165e-08,RNA
ADAM22,30.56484876165021,4.1009270267488386e-08,RNA
ERN1,30.05610076600569,5.290525464966564e-08,RNA
MYO1E,29.855612556754906,5.849520350649444e-08,RNA
NIBAN3,29.81028454437708,5.983907535269333e-08,RNA
ENPP2,29.20017279021098,8.125426496243638e-08,RNA
AUTS2,26.952460788073505,2.5160650355179075e-07,RNA
LGMN,26.927710206950934,2.547650453370184e-07,RNA
PTPRM,26.660436062491456,2.915178983358261e-07,RNA
MRC1,26.651622943578094,2.9281654785910123e-07,RNA
TSBP1,26.641358817853884,2.9433633464202516e-07,RNA
LINC02356,26.493984198208143,3.170519312889304e-07,RNA
TNFRSF17,26.39471355789206,3.333375308308929e-07,RNA
HIP1,26.326802931316617,3.4495989606863755e-07,RNA
KLHL13,25.947428913964412,4.177910132563129e-07,RNA
XACT,25.910457797352493,4.256669894224008e-07,RNA
SOX4,25.65550546220598,4.841953777863372e-07,RNA
WDR49,25.344791938100762,5.665675119155877e-07,RNA
NEGR1,24.963228521780366,6.872375840056311e-07,RNA
TCF4.AS1,24.135163719034637,1.045549540273331e-06,RNA
MIR99AHG,23.884265812335038,1.1874960645051554e-06,RNA
LINC01684,23.302391358132866,1.5958186953171196e-06,RNA
ARHGAP31,23.284692366054447,1.6102397023995616e-06,RNA
PDE4B,23.18683919935572,1.6923662096769524e-06,RNA
CCDC88A,23.01727285639374,1.8447750377146312e-06,RNA
PTGDS,22.93492293211267,1.923695573125675e-06,RNA
PMEPA1,22.891412877894453,1.9667548088236717e-06,RNA
FCHSD2,22.819647704124964,2.0399034162707395e-06,RNA
IRF7,22.230801479738673,2.753274737367845e-06,RNA
DOCK1,22.228353275270088,2.7567123811307507e-06,RNA
ZNF385D,22.093307251031273,2.953174731197478e-06,RNA
RANBP17,20.682776677068688,6.070454739563812e-06,RNA
PRKD1,19.66642488827352,1.0220800342725692e-05,RNA
HS3ST3B1,19.653507165073446,1.02888094909858e-05,RNA
PHACTR1,19.248027105075124,1.2671616973763828e-05,RNA
chrX.153469783.153471405,19.17127672912636,1.3181618682560078e-05,ATAC
WDFY4,18.945577741750643,1.4804257190218159e-05,RNA
RUBCNL,18.652320021716534,1.7216732820304824e-05,RNA
HHAT,18.20583357465862,2.1671737660732383e-05,RNA
AC009570.2,18.040653393330697,2.3599681310233035e-05,RNA
CEP128,17.945155997337658,2.479214073992376e-05,RNA
EPDR1,17.5076410906994,3.10801813355997e-05,RNA
GZMB,17.324985270856974,3.415959479305191e-05,RNA
chr5.177005644.177007405,17.236718815195427,3.5756027849081786e-05,ATAC
FAM30A,16.984768902325467,4.073861978575304e-05,RNA
C12orf75,16.968535214859337,4.1082668870536334e-05,RNA
EGLN3,16.56582167701729,5.062141222634734e-05,RNA
TBC1D4,16.40272000585103,5.509319928851095e-05,RNA
AC068633.1,16.352304737912288,5.6554409935397484e-05,RNA
SCN1A.AS1,16.109813699616545,6.414736052966821e-05,RNA
GNG7,16.10218176860979,6.440233364123168e-05,RNA
AC073475.1,16.047636298720064,6.625460794821398e-05,RNA
PPARA,15.480592447754537,8.90013192324447e-05,RNA
TCL1A,15.404283339110343,9.261239151052758e-05,RNA
GRAMD1B,15.395596050513083,9.303274371440806e-05,RNA
PLEKHD1,15.370912311040202,9.423764364829476e-05,RNA
chr3.48918002.48920252,15.173104110048452,0.00010447946885427252,ATAC
TSPAN13,14.972577272635894,0.0001160091837987416,RNA
chr17.44121923.44124418,14.940295079435959,0.00011798173821304682,ATAC
SH3D19,14.933984200293134,0.00011837128964632148,RNA
SEL1L3,14.522361940163933,0.00014679387533429261,RNA
SLC9A7,14.41074233719035,0.00015562596595781629,RNA
LINC00571,14.404339342878366,0.00015614857646369267,RNA
chr8.22106658.22110664,14.29154711545402,0.00016565053466108314,ATAC
OVCH1.AS1,14.234745158917567,0.00017065447957664962,RNA
TXNDC5,13.999091071314254,0.0001930973151500568,RNA
AFF3,13.785566828787035,0.00021599743192705822,RNA
MZB1,13.560711789319463,0.00024308566463168902,RNA
chrX.54042649.54045284,13.352059520481458,0.00027128447768299684,ATAC
chr17.68455849.68458365,13.341252286136369,0.000272831931392584,ATAC
ALCAM,13.125425840931962,0.0003056727262121822,RNA
chr2.46698185.46700143,12.809977253400628,0.0003609980043273831,ATAC
FANCI,12.539242931430934,0.0004164967965726742,RNA
chr5.134225098.134227443,12.478622384213896,0.0004300620021174542,ATAC
SLAMF7,12.464452745253105,0.00043329665087875324,RNA
AC034195.1,12.2087423795374,0.0004960879154460095,RNA
SPATS2,12.132418223380807,0.0005165570586473681,RNA
chr12.123363414.123366130,12.127652182095593,0.000517863225551409,ATAC
GPM6A,12.01807572562142,0.0005488322990079575,RNA
AC116362.1,11.97687506452566,0.0005609554751490652,RNA
RNF165,11.796022561688416,0.0006174586766627192,RNA
SETBP1,11.611634974099996,0.0006810049706489986,RNA
FMN1,11.555103297437975,0.0007017838078624669,RNA
MPEG1,11.547752104809557,0.0007045325565741454,RNA
chr16.4270990.4274338,11.490439479548716,0.0007263398840069982,ATAC
AC105180.2,11.30146623608603,0.000803204825934437,RNA
STMN1,11.158167768284912,0.0008669420473309363,RNA
FIRRE,11.099165624131738,0.0008946523113422929,RNA
chr17.7613908.7615910,11.037491715407857,0.0009245770628058199,ATAC
chr11.117327446.117328802,10.361969505905636,0.0013269596155457487,ATAC
PIP5K1B,10.34809537176243,0.0013368682040194476,RNA
chrX.153966927.153973708,10.270750980280987,0.0013934972238759142,ATAC
LHFPL2,10.246881680626041,0.001411460232390497,RNA
SLC25A43,10.21557088419777,0.0014353800508882407,RNA
chr2.42100714.42103264,10.150195326116386,0.0014866578540919898,ATAC
MAP7D2,10.057675372204102,0.0015624203259253947,RNA
TRAM2,9.952736059610599,0.001653109026793812,RNA
DPYD,9.866800632608763,0.0017313424588266287,RNA
chr9.112717378.112718824,9.80376570918929,0.0017911086911908752,ATAC
chr16.1781447.1783737,9.751651733363664,0.0018420995183773515,ATAC
CSF2RA,9.65144327888232,0.0019443295732329787,RNA
chr2.108718659.108720206,9.391846435495848,0.002236808961587609,ATAC
SH3RF3,9.252487906516345,0.002411883494975036,RNA
APBA1,9.247779661073016,0.0024180358398190214,RNA
chr16.84503948.84505447,9.174434342375775,0.00251596427877328,ATAC
CARD11,9.172166986274934,0.0025190550253025882,RNA
chr19.57362889.57364133,9.117517060591458,0.0025947305389086776,ATAC
chr3.47380099.47382117,9.07971896328705,0.0026484195751089587,ATAC
STRBP,9.02639105877238,0.0027260951583094953,RNA
SEMA3C,8.880953623074019,0.0029499256359512747,RNA
chr11.62621331.62622970,8.83232480635578,0.0030288671775620265,ATAC
chrX.11757259.11760390,8.651118996291142,0.003342453851161726,ATAC
TUBB6,8.635888787552052,0.0033702720084984967,RNA
chr20.57388918.57393904,8.622256990507486,0.003395370556041078,ATAC
chr1.151992262.151994770,8.58637428028443,0.0034623508504877634,ATAC
AP001977.1,8.571277061998662,0.0034909327564601198,RNA
chr17.64984732.64986902,8.556721480133218,0.003518716781087874,ATAC
CEP112,8.55205304440531,0.003527675617853315,RNA
chr12.53378970.53382297,8.530204054059062,0.003569914167841805,ATAC
AC132153.1,8.520723817437894,0.0035884013119794078,RNA
chr11.71786221.71788310,8.5089457616911,0.0036115052838092973,ATAC
chr1.182838705.182840526,8.436877082171758,0.0037562149346700665,ATAC
MS4A6A,8.406104131065355,0.003819792324325303,RNA
RBM47,8.322931299059277,0.0039971728318707106,RNA
chr15.40322787.40325038,8.135142633479601,0.004429202645996913,ATAC
AC083837.1,8.085602254361605,0.00455092120469902,RNA
AC090204.1,8.050515768064251,0.0046391867161654585,RNA
ALOX5AP,7.991478482879254,0.004791665815718128,RNA
HDAC9,7.930922131474483,0.004953386679685531,RNA
chr2.65226973.65229062,7.887528294063079,0.005072691080584401,ATAC
chr20.57396998.57401745,7.843105336187752,0.005197865615430158,ATAC
chr17.45146896.45150410,7.807302824577773,0.005301042074272606,ATAC
CCNT2.AS1,7.729862242956688,0.005531427075285395,RNA
chr9.114370936.114374610,7.661170233048709,0.0057443383386282755,ATAC
SYCP2L,7.641665706309394,0.0058063058299289766,RNA
chr17.79833680.79846011,7.599839849266473,0.005941503528026157,ATAC
chr22.39318679.39320573,7.572911587621128,0.006030244752637713,ATAC
AC007681.1,7.444465118542546,0.006472557844732435,RNA
SNCA,7.376100693365969,0.00672136722639092,RNA
chr7.100705156.100706870,7.307902919088426,0.006979326955088172,ATAC
chr22.37281738.37285642,7.297072372598389,0.007021216390425868,ATAC
chr9.129623370.129627400,7.272166367253013,0.0071185245982904625,ATAC
chr2.74481858.74483762,7.18695870180187,0.007461998568888286,ATAC
chr12.110581286.110583906,7.172196110677506,0.007523209752001616,ATAC
GPR183,7.127145994700388,0.007713202265632822,RNA
chr9.74951641.74953571,7.111828611285576,0.0077789148019855444,ATAC
chr5.43007222.43011115,7.008562371901422,0.00823716173310002,ATAC
GAB1,6.973958370674447,0.008396831383427358,RNA
chr3.100708822.100711020,6.845450419127656,0.009018092324263198,ATAC
chr9.120924803.120929766,6.843867242459651,0.009026033242321208,ATAC
HSP90B1,6.83160645100086,0.009087774431515516,RNA
SDK2,6.820518977813695,0.009143980157674463,RNA
DLGAP1,6.794961295279481,0.009274902116675558,RNA
TUBB,6.74665527458065,0.009527632941307694,RNA
chr2.230711298.230714510,6.69744683955885,0.009792357768908957,ATAC
AOAH,6.6486103596365345,0.010062551154827098,RNA
DAPK1,6.5781072707092,0.01046618801483254,RNA
chr1.50959335.50960924,6.499465092887168,0.0109360968175319,ATAC
chr11.2443578.2448141,6.4854464627890955,0.011022112406440432,ATAC
chr1.2310334.2317034,6.453608153010936,0.011220058600658516,ATAC
NUSAP1,6.389214988819215,0.011631653703609492,RNA
chr18.74147223.74148985,6.335821781895361,0.011984699041441848,ATAC
MYB,6.28640317925402,0.012321287020368204,RNA
PTK2,6.25014041842399,0.012574447444840929,RNA
chr19.1566160.1569170,6.225262449728295,0.012751218608218758,ATAC
chr10.73873244.73875685,6.2096220371092326,0.01286365983905006,ATAC
chr6.37048630.37052378,6.19297350273904,0.012984470738204726,ATAC
chr4.127964170.127966327,6.190754088459735,0.013000664045444095,ATAC
AC008691.1,6.169122406421611,0.013159586597267897,RNA
chr16.31141315.31143379,6.1030559438872,0.013657462365361465,ATAC
chr15.75842451.75845415,6.054488889949004,0.014035810147556472,ATAC
chr3.132721631.132723499,5.995825773523885,0.014507254332430875,ATAC
chr11.125591452.125593457,5.942946318571841,0.014946208361179223,ATAC
chr2.113889207.113891439,5.938462496245546,0.014984053201570056,ATAC
CLIC3,5.906746586618796,0.015254583435087768,RNA
chr22.30286729.30292300,5.878068877661376,0.015503536618647852,ATAC
chr9.128158985.128161101,5.8543801513559215,0.01571234065987511,ATAC
chr13.30463903.30467269,5.844318486411545,0.015801905323738406,ATAC
chr1.160261409.160263476,5.834620058163018,0.015888735472318147,ATAC
chr17.80145287.80148184,5.826167007427138,0.015964817443305166,ATAC
chr16.85798777.85800713,5.814643709535414,0.016069139582593792,ATAC
chr3.141230889.141232980,5.8140551115536185,0.016074487103860804,ATAC
chr1.7960847.7962358,5.810979024967651,0.01610246382605724,ATAC
chr4.39976298.39978504,5.808367907226659,0.01612625114832014,ATAC
chr16.67561471.67564277,5.7364008798561645,0.01679635746155876,ATAC
chr22.20130252.20132867,5.7311109727566985,0.01684673444301449,ATAC
PTPRE,5.705855357836942,0.017089410165285025,RNA
chr12.6469766.6471540,5.6403263866576125,0.017736057888257814,ATAC
chr15.22837777.22840317,5.6364356564968965,0.017775238687749054,ATAC
chr15.89333939.89336064,5.599314050482946,0.018153595690908957,ATAC
chr22.50620086.50622874,5.556732534770322,0.018597878733581208,ATAC
chr2.30144894.30155073,5.555535033609554,0.01861053450443714,ATAC
chr5.79513148.79515083,5.523554871981201,0.01895183393326048,ATAC
chr1.92482197.92487399,5.4378350848287536,0.019898986259904626,ATAC
chr16.2903922.2906385,5.417280590911116,0.020133303351361508,ATAC
chr17.2391829.2402868,5.412647051430626,0.020186518442488647,ATAC
chr10.21533346.21535637,5.393725869638233,0.020405340782501512,ATAC
chr8.28621887.28623642,5.3833711801800845,0.02052613130405202,ATAC
chr6.163413025.163417158,5.3681856922570175,0.020704616296666218,ATAC
SULF2,5.368065835218923,0.020706031435259308,RNA
chr2.65430345.65433208,5.365894050013821,0.020731690832078986,ATAC
chr7.151242976.151249802,5.3603260944574815,0.02079762626967492,ATAC
chr15.68228617.68230559,5.343132528474435,0.021002606953286953,ATAC
LINC02315,5.337449389147756,0.02107082062361425,RNA
chr3.182792308.182795844,5.2695153147817715,0.02190423783389983,ATAC
chr17.63549483.63552141,5.253716228666338,0.022102916789059356,ATAC
IL18RAP,5.24955008029761,0.022155618431552733,RNA
chr12.30754061.30755583,5.24793006773301,0.022176146731278844,ATAC
chr16.1342081.1348491,5.208467486375347,0.022682348969362238,ATAC
chr2.71226281.71227833,5.203577288098738,0.022745907449816364,ATAC
KIAA1671,5.186842591009905,0.022964812789534515,RNA
chr16.67845872.67847869,5.1744910090032405,0.02312778518579792,ATAC
chr3.9792025.9793847,5.1578787326732485,0.0233488711712144,ATAC
chr1.52054519.52057468,5.153059513437154,0.023413418068747152,ATAC
UBE2E2,5.140265091223728,0.023585682735586422,RNA
chr1.1614124.1617092,5.0918190764664955,0.02424998612320669,ATAC
chr12.112012039.112015070,5.088539188684689,0.02429565766514979,ATAC
chr19.17468661.17471363,5.08544509332881,0.024338824048294478,ATAC
DISC1FP1,5.075001207880342,0.024485118512970024,RNA
chr20.25389631.25391382,5.046888405441411,0.024883473064281847,ATAC
chr1.42334189.42336083,4.9679331857111375,0.026038712327806114,ATAC
ADGRG5,4.935373936181186,0.026531230366460348,RNA
chr15.30990421.30992425,4.928178325902929,0.02664137964035683,ATAC
chr20.64076530.64081468,4.920902052512377,0.02675324795589464,ATAC
chr9.114397410.114399154,4.902120672276196,0.027044266918581413,ATAC
chr22.30356107.30357743,4.863331701958807,0.027655790556486932,ATAC
chr12.120290454.120293717,4.852445786365518,0.027829987606955126,ATAC
chr14.20342266.20344188,4.836844870087744,0.028081630436971112,ATAC
AC019197.1,4.821488777097568,0.028331641115262294,RNA
chr5.141617692.141619695,4.821325737922888,0.02833430794954424,ATAC
chr15.88635078.88640760,4.813996549780148,0.02845446230421339,ATAC
chr11.65416071.65431889,4.73951079500621,0.02970615281487478,ATAC
chr16.23835295.23838026,4.736795617714301,0.029752850609649148,ATAC
chr16.50547228.50550476,4.724145242675924,0.029971434045682095,ATAC
RNF130,4.71929314134048,0.030055716706684665,RNA
chr7.107167569.107170865,4.718608342855362,0.030067631797034828,ATAC
chr20.10433377.10435684,4.712053804003965,0.030181926674328223,ATAC
FRMD4B,4.703411890717823,0.030333313784685352,RNA
AL365295.1,4.676045171758587,0.030817970241778125,RNA
chr1.89820434.89822471,4.639849706498388,0.031471435355336835,ATAC
SLC38A11,4.62829359422983,0.03168310263228646,RNA
chr1.94417703.94419178,4.623937285125311,0.03176328050602921,ATAC
chr20.58888259.58893150,4.616379832486721,0.03190287885785098,ATAC
chr9.137604219.137608811,4.60826631059551,0.032053462695347236,ATAC
chr2.23925681.23927988,4.569138328391422,0.03279016646843552,ATAC
chr11.119093932.119096108,4.504523423539199,0.03404576364332263,ATAC
chr15.48810261.48811962,4.443519749353139,0.03527742127297966,ATAC
AC130324.2,4.435662010444239,0.035439428406705054,RNA
chr14.23006543.23007615,4.431463099963192,0.03552631895529959,ATAC
LINC02245,4.4249654003721695,0.035661220001520416,RNA
chr17.7571883.7574828,4.406323661651266,0.036051235566650186,ATAC
chr9.137549826.137552672,4.3800499952744,0.036608532092457395,ATAC
chr14.101759971.101762722,4.356332530919936,0.03711936846681138,ATAC
chr5.139402550.139404845,4.351643562768461,0.03722124359830883,ATAC
chr3.196867322.196868778,4.340834295156857,0.037457210926186396,ATAC
MEF2C,4.3403161290101275,0.03746856189140437,RNA
chr7.875646.878281,4.337927138669779,0.037520941896038267,ATAC
chr1.156497845.156503221,4.3249287584578555,0.03780728857858121,ATAC
chr5.610956.612968,4.268791045597636,0.03907057417147616,ATAC
chr17.3913558.3917750,4.264767841676775,0.03916279570286512,ATAC
chr17.7685523.7689075,4.256828885324921,0.03934544722074369,ATAC
chr14.65100949.65103580,4.195238227324116,0.04079324035650831,ATAC
chr12.51216889.51219029,4.187379318626916,0.04098196765223022,ATAC
chr11.119380455.119382353,4.186267047275295,0.04100875232186255,ATAC
chr22.42089858.42091705,4.1477587238881615,0.04194752294079699,ATAC
chr4.83034248.83035827,4.137221963612954,0.04220831359724387,ATAC
CRELD2,4.105977153078363,0.04299172459951715,RNA
SAT1,4.093632241824119,0.04330545976874343,RNA
TTC28,4.088018834764077,0.043448916480856026,RNA
chr1.16612119.16614712,4.069895250799487,0.04391551248904173,ATAC
chr7.27662083.27663783,4.069561704300273,0.043924149045929194,ATAC
TBC1D8,4.057375439988089,0.04424092009305296,RNA
IRF4,4.045716691802249,0.04454623357851372,RNA
chr6.33409313.33420315,4.043225023374766,0.044611771800957656,ATAC
chr15.34101256.34102541,4.0399482055828795,0.04469811658159591,ATAC
chr3.51384194.51386015,4.038831968254165,0.04472756987534877,ATAC
chr6.32175511.32179132,4.0282144591586695,0.04500875130091812,ATAC
chr14.91059570.91061876,4.010218449428806,0.04548960270078186,ATAC
chr19.17554972.17556730,3.9748200671562692,0.0464513313645988,ATAC
chr19.40776887.40779062,3.974402251003831,0.04646281021450198,ATAC
CEP126,3.9399800020222515,0.04741887434791775,RNA
chr9.125240503.125242390,3.9388744582013726,0.047449922655603306,ATAC
chr2.219541478.219544624,3.914756436145275,0.04813263095970014,ATAC
chr14.100192254.100193999,3.914193768158984,0.04814868176187724,ATAC
chr19.45496156.45499797,3.9016528956906162,0.04850789795056194,ATAC
chr8.143839636.143842265,3.893843999185743,0.04873300358879594,ATAC
ABCA3,3.8904125940295966,0.048832269150748155,RNA
chr7.87218117.87221139,3.852738742648578,0.04993629084700715,ATAC
